0.87,22.09148072,,0.87,21.68397697,,0.87,18.20486044,,0.87,22.02646523,,0.87,22.43614524
0.88,23.25642409,,0.88,22.47147574,,0.88,18.3214366,,0.88,23.40088042,,0.88,24.61516848
0.89,24.38269157,,0.89,23.19867195,,0.89,18.37340117,,0.89,24.75884947,,0.89,26.78337273
0.9,25.43907099,,0.9,23.84720666,,0.9,18.36094473,,0.9,26.05977098,,0.9,28.81366959
0.91,26.39170258,,0.91,24.39925711,,0.91,18.28551847,,0.91,27.25644582,,0.91,30.54780166
0.92,27.20615664,,0.92,24.83862734,,0.92,18.14969437,,0.92,28.29784446,,0.92,31.81648982
0.93,27.8500885,,0.93,25.15184814,,0.93,17.95699336,,0.93,29.1333621,,0.93,32.47296224
0.94,28.29617445,,0.94,25.32915726,,0.94,17.71169644,,0.94,29.71816401,,0.94,32.43078862
0.95,28.52488826,,0.95,25.36523237,,0.95,17.41865201,,0.95,30.0187586,,0.95,31.69012757
0.96,28.52662362,,0.96,25.2595757,,0.96,17.08309021,,0.96,30.01762444,,0.96,30.33891876
0.97,28.30274438,,0.97,25.01649849,,0.97,16.71045252,,0.97,29.7157588,,0.97,28.52802624
0.98,27.86534901,,0.98,24.64471347,,0.98,16.30624159,,0.98,29.13247563,,0.98,26.43276426
0.99,27.23580831,,0.99,24.15660118,,0.99,15.87589424,,0.99,28.30251493,,0.99,24.21740306
1,26.4423872,,1,23.56725769,,1,15.42467795,,1,27.27123185,,1,22.01317716
1.01,25.51741229,,1.01,22.89344905,,1.01,14.95761029,,1.01,26.08902895,,1.01,19.91114705
1.02,24.49446305,,1.02,22.15259184,,1.02,14.47939897,,1.02,24.80616897,,1.02,17.96548018
1.03,23.40596565,,1.03,21.36185379,,1.03,13.99440017,,1.03,23.46875643,,1.03,16.20156831
1.04,22.28140943,,1.04,20.53743437,,1.04,13.50659234,,1.04,22.11621016,,1.04,14.62489655
1.05,21.14624422,,1.05,19.69404957,,1.05,13.01956262,,1.05,20.78015198,,1.05,13.22858768
1.06,20.02139467,,1.06,18.84461602,,1.06,12.53650336,,1.06,19.48440109,,1.06,11.99899419
1.07,18.9232586,,1.07,18.00010929,,1.07,12.06021646,,1.07,18.24568955,,1.07,10.91946219
1.08,17.86403581,,1.08,17.16956067,,1.08,11.59312362,,1.08,17.07474967,,1.08,9.972672372
1.09,16.8522467,,1.09,16.360154,,1.09,11.13728085,,1.09,15.97751165,,1.09,9.141981892
1.1,15.89332906,,1.1,15.5773871,,1.1,10.69439616,,1.1,14.95624412,,1.1,8.412108548
1.11,14.99023546,,1.11,14.82526791,,1.11,10.26584932,,1.11,14.01054913,,1.11,7.769410067
1.12,14.14398335,,1.12,14.10652295,,1.12,9.852713123,,1.12,13.1381792,,1.12,7.201929264
1.13,13.35413383,,1.13,13.4228019,,1.13,9.45577563,,1.13,12.33567784,,1.13,6.699309806
1.14,12.61919112,,1.14,12.77486853,,1.14,9.075563051,,1.14,11.59886297,,1.14,6.252650093
1.15,11.9369251,,1.15,12.16277219,,1.15,8.712363052,,1.15,10.92317995,,1.15,5.854336369
1.16,11.30462475,,1.16,11.58599802,,1.16,8.366248312,,1.16,10.30395092,,1.16,5.497874119
1.17,10.71929279,,1.17,11.04359566,,1.17,8.03710023,,1.17,9.736545211,,1.17,5.177729562
